ID列	地域ID指定列	音素列	かな列	IPA列	訳列	系統列	意味領域列	品詞列	アクセント型列	音節構造列	語幹列	備考列	音声ファイル列	画像ファイル列	動画列	活用列	標準語ひらがな列	例文指定列	更新列	例文列	例文訳列
91	1	[iča]	[いちゃ	[iʨa]	烏賊	沖縄語	動物	名詞	a	V.CV			ica.wav				いか	91	20220418	iča kwaafun 	イカを釣る
92	1	taku[u	たく[ー	taku[ː	蛸	沖縄語	動物	名詞	b	CV.CVV			takuu.wav				だこ	92	20220418	taku tuin	タコを取る
93	1	ʔibi	いび	ʔibi	海老	沖縄語	動物	名詞	a	PV.CV			ibi.wav				えび	93	20220418	ibi tuin	エビを取る
94	1	gassi	がっし	gaɕɕi	うに	沖縄語	動物	名詞	c	CVC.CV			gassi.wav				うに	94	20220418	gassi tuin	ウニを取る
95	1	gaasi	がーし	gaːɕi	うに	沖縄語	動物	名詞	c	CVV.CV			gaasi.wav				うに		20220418		
96	1	gaasinumi	がーしぬみ	gaːɕinumi	うにの身	沖縄語	動物	名詞	不明	CVV.CV.CV.CV			gaasinumi.wav				うにのみ		20220418		
97	1	na[a	な[ー	na[ː	貝	沖縄語	動物	名詞	b	CVV			naashell.wav				がい	97	20220418	naa tuin	貝を取る
98	1	terazangoo	てらじゃんごー	teɾaʑangoː	まきがい	沖縄語	動物	名詞	不明	CV.CV.CVC.CVV			terazangoo.wav				まきがい	98	20220418	terazango tuin	まきがいを取る
99	1	[haa]mi[i	はーみ][ー	[haː]mi[ː	亀	沖縄語	動物	名詞	b	CVV.CVV			haami.wav				かめ	99	20220418	haamii čikadan	亀を取る
100	1	[gai	[がい	[gai	蟹	沖縄語	動物	名詞	a	CV.V			gai.wav				かに	100	20220418	gai tutan	カニを取った
101	1	[ʔjuu]	[‘ゆー	[ʔjuː]	魚	沖縄語	動物	名詞	a	PCVV			juufish.wav				ざかな	101	20220418	juu kwačan	魚を釣る
102	1	iriči[i	いりち[ー	iɾiʨi[ː	鱗	沖縄語	動物	名詞	b	V.CV.CVV			irici.wav				うろこ	102	20220418	iričii muzun	鱗を剥く
103	1	una][zi	うな[じ	una][ʑi	鰻	沖縄語	魚	名詞	c	V.CV.CV			unazi.wav				うなぎ	103	20220418	unazi kwaacan	ウナギを釣った
104	1	kacu[u	かつ[ー	katsu[ː	鰹	沖縄語	魚	名詞	b	CV.CVV			kacuu.wav				かつお	104	20220418	kacuu kwaacan	カツオを取った
105	1	[tubi]juu	[とぅびゆー	[tubi]juː	飛魚	沖縄語	魚	名詞	a	CV.CV.CVV			tubijuu.wav				とびうお	105	20220418	tubuu tuin	
106	1	fuka	ふか	ɸuka	さめ・ふか	沖縄語	魚	名詞	不明	CV.CV			fuka.wav				さめ・ふか	106	20220418	saba kwaasun	サメを取る
107	1	fiitu	ふぃー[とぅ	ɸiː[tu	いるか	沖縄語	動物	名詞	c	CV.CV			fiitu.wav				いるか	107	20220418	fiitu tuin	イルカを取る
108	1	siči]ri[i	しちり[ー	ɕiʨi]ɾi[ː	なまこ	沖縄語	動物	名詞	b	CV.CV.CVV			siciri.wav				なまこ	108	20220418	sičirii ačimin	
109	1	ama[mu	あま[む	ama[mu	やどかり	沖縄語	動物	名詞	c	V.CV.CV			amamu.wav				やどかり	109	20220418	amamu ačimin	ヤドカリを集める
110	1	[usi]	[うし	[uɕi]	牛	沖縄語	動物	名詞	a	V.CV			usi.wav				うし	110	20220418	usiga kusaa kamoon	牛が草を食べている
111	1	ma[a	ま[ー	ma[ː	馬	沖縄語	動物	名詞	b	CVV			maa.wav				うま	111	20220418	maaga fwajoon	馬が走っている
112	1	kan[zi	かん[じ	kan[ʑi	たてがみ	沖縄語	動物	名詞	c	CVC.CV			kanzi.wav				ばのたてがみ	112	20220418	kanzi čiin	たてがみを切る
113	1	hii[za	ひー[じゃ	hiː[ʑa	山羊	沖縄語	動物	名詞	c	CVV.CV			hiiza.wav				やぎ	113	20220418	fiiza waagin 	ヤギをおいかける
114	1	[ʔwaa	[‘わー	[ʔwaː	豚	沖縄語	動物	名詞	a	PCVV			2waa.wav				ぶた	114	20220418	waa čikanain	豚を飼う
115	1	[činu]	ちぬ	[ʨinu]	角	沖縄語	動物	名詞	a	CV.CV			činu.wav				かく	115	20220418	činu tuuzun	角を研ぐ
116	1	i[n	い[ん	i[ɴ	犬	沖縄語	動物	名詞	b	VC			in.wav				いぬ	116	20220418	iin kooin 	犬を買う
117	1	maja[a	まや[ー	maja[ː	猫	沖縄語	動物	名詞	b	CV.CVV			majaa.wav				ねこ	117	20220418	mai čikanain	猫を養う
118	1	mai	まい	mai	猫	沖縄語	動物	名詞	不明	CV.V			mai.wav				ねこ	118	20220418	mai wagiree	猫を叱れろ
119	1	enču[u	えんちゅ[ー	enʨu[ː	ねずみ	沖縄語	動物	名詞	b	VC.CVV			enčuu.wav				ねずみ	119	20220418	enčuu čikadan	ネズミを捕まえた
120	1	oo	おー	oː	尾	沖縄語	動物	名詞	不明	VV			ootail.wav				お		20220418		
121	1	[iči]musi[i	いちむしー	[iʨi]muɕi[ː	動物	沖縄語	動物	名詞	b	V.CV.CV.CVV			icimusii.wav				どうぶつ	121	20220418	ičimusii waagin	生き物を
122	1	siruwaa	しるわー	ɕiɾuwaː	白豚	沖縄語	動物	名詞	不明	CV.CV.CVV			siruwaa.wav				しろぶた		20220418		
123	1	seitaa	せいたー	seitaː	ぬまえび	沖縄語	動物	名詞	不明	CV.V.CVV			seitaa.wav				ぬまえび		20220418		
124	1	tubiičaa	とぅびちゃー	tubiːʨaː	鳶烏賊	沖縄語	動物	名詞	不明	CV.CVV.CVV			tubiicaa.wav				とんびいか		20220418		
125	1	sentagai	へんたがい	hentagai	さわがに	沖縄語	動物	名詞	不明	CVC.CV.CV.V			sentagai.wav				さわがにるい		20220418		
126	1	gai	がい	gai	おかがに	沖縄語	動物	名詞	不明	CV.V			gai.wav				おかがにるい		20220418		
127	1	hirumikkwaa	ひるみっくぁー	hiɾumikkwaː	ひめはぶ	沖縄語	動物	名詞	不明	CV.CV.CVC.CCVV			hirumikkwa.wav				ひめはぶ		20220418		
128	1	ahamataa	あはまたー	ahamataː	あかまた	沖縄語	動物	名詞	不明	V.CV.CV.CVV			ahamataa.wav				あかまた		20220418		
129	1	jamamai	やままい	jamamai	やまねこ	沖縄語	動物	名詞	不明	CV.CV.CV.V			jamamai.wav				やまねこ		20220418		
130	1	hatabičaa	はたびちゃー	hatabiʨaː	あおがえる	沖縄語	動物	名詞	不明	CV.CV.CV.CVV			hatabicaa.wav				あおがえる		20220418		
131	1	[zoo	[ぞー	[zoː	尻尾	沖縄語	動物	名詞	a	CVV			zoo.wav				しっぽ		20220418		
132	1	gasa[mi	がさ[み	gasa[mi	がざみ	沖縄語	動物	名詞	不明	CV.CV.CVV			gasamii.wav				がざみ		20220418		
133	1	usinkwaa	うしんくぁー	uɕinkwaː	仔牛	沖縄語	動物	名詞	a	V.CVC.CCVV			usinkwaa.wav				こうし		20220418		
134	1	kwaausi	くぁーうし	kwaːuɕi	仔牛	沖縄語	動物	名詞	a	CCVV.V.CV			kwaausi.wav				こうし		20220418		
135	1	usinujaa	うしぬやー	uɕinujaː	牛小部屋	沖縄語	動物	名詞	不明	V.CV.CV.CVV			usinujaa.wav				うしこべや		20220418		
136	1	asigee	あしげー	aɕigeː	子豚	沖縄語	動物	名詞	不明	V.CV.CVV			asigee.wav				こぶた		20220418		
137	1	taaga[i	たーがい	taːgai	田蟹	沖縄語	動物	名詞	不明	CVV.CVV			taagai.wav				でんかに		20220418		
138	1	ja[a	や[ー	ja[ː	家	沖縄語	住	名詞	b	CVV			jaa.wav				いえ		20220418		
139	1	[su]mu	[すむ	[su]mu	台所	沖縄語	住	名詞	a	CV.CV			sumu.wav				だいどころ		20220418		
140	1	tinzo[o	てぃんじょ[ー	tinʑo[ː	天井	沖縄語	住	名詞	c	CVC.CVV			tinzoo.wav				てんじょう		20220418		
141	1	[jufa	[ゆふぁ	[juɸwa	床	沖縄語	住	名詞	a	CV.CV			jufa.wav				ゆか		20220418		
142	1	[tana]	[たな	[tana]	棚	沖縄語	住	名詞	a	CV.CV			tana.wav				だな		20220418		
143	1	[hama	[はま	[hama	かまど	沖縄語	住	名詞	a	CV.CV			hama.wav				かまど		20220418		
144	1	zii[ru	じー[る	ʑiː[ɾu	いろり	沖縄語	住	名詞	c	CVV.CV			ziiru.wav				いろり		20220418		
145	1	hasi][ru	はし[る	haɕi][ɾu	戸	沖縄語	住	名詞	c?	CV.CV.CV			hasiru.wav				と		20220418		
146	1	itaa	いたー	itaː	板	沖縄語	住	名詞	b	V.CVV			itaa.wav				ばん		20220418		
147	1	fusi[i	ふし[ー	ɸuɕi[ː	節	沖縄語	住	名詞	b?	CV.CVV			fusii.wav				ぶし		20220418		
148	1	faa[ja	ふぁー[や	ɸʷaː[ja	柱	沖縄語	住	名詞	c	CVV.CV			faaja.wav				はしら		20220418		
149	1	[kuzi	[くじ	[kuʑi	釘	沖縄語	住	名詞	a	CV.CV			kuzi.wav				くぎ		20220418		
150	1	kaa][ra	かー[ら	kaː][ɾa	瓦	沖縄語	住	名詞	c	CVV.CV			kaara.wav				がわら		20220418		
151	1	fuu][ru	ふー[る	ɸuː][ɾu	便所	沖縄語	住	名詞	c	CVV.CV			fuuru.wav				べんじょ		20220418		
152	1	[gači	[がち	[gaʨi	垣	沖縄語	住	名詞	a	CV.CV			gaci.wav				がき		20220418		
153	1	[nii]wa	[にーわ	[niː]wa	庭	沖縄語	住	名詞	a	CVV.CV			niiwa.wav				にわ		20220418		
154	1	haa]	はー]	haː]	井戸	沖縄語	住	名詞	a?	CVV			haawell.wav				いど		20220418		
155	1	haru[u	はる[ー	haɾu[ː	墓	沖縄語	住	名詞	b	CV.CVV			haruu.wav				はか		20220418		
156	1	haka[a	はか[ー	haka[ː	墓	沖縄語	住	名詞	b	CV.CVV			hakaa.wav				はか		20220418		
157	1	sii[si	しー[し	ɕiː[ɕi	すす	沖縄語	住	名詞	c	CVV.CV			siisi.wav				すす		20220418		
158	1	zo[o	じょ[ー	ʑo[ː	門	沖縄語	住	名詞	b	CVV			zoolock.wav				もん		20220418		
159	1	tungwaa	とぅんぐぁー	tungwaː	炊事小屋	沖縄語	住	名詞	不明	CVC.CCVV			tungwaa.wav				すいじごや		20220418		
160	1	sumuu	すむー	sumuː	炊事小屋	沖縄語	住	名詞	不明	CV.CVV			sumuu.wav				すいじごや		20220418		
161	1	hasiri	はしり	haɕiɾi	雨戸	沖縄語	住	名詞	不明	CV.CV.CV			hasiri.wav				あまど		20220418		
162	1	jaasiči	やーしち	jaːɕiʨi	屋敷	沖縄語	住	名詞	不明	CVV.CV.CV			jaasici.wav				やしき		20220418		
163	1	fusijaa	ふしやー	fusijaː	裏の家	沖縄語	住	名詞	不明	CV.CV.CVV			fusijaa.wav				うらのいえ		20220418		
164	1	soozi	そーじ	soːʥi	障子	沖縄語	住	名詞	不明	CVV.CV			soozi.wav				しょうじ		20220418		
165	1	ju[u	ゆ[ー	ju[ː	湯	沖縄語	食	名詞	b	CVV			juuhotwater.wav				ゆ		20220418		
166	1	[suu	[suu	[suː	お酢	沖縄語	食	名詞	a	CVV			suuosu.wav				おす		20220418		
167	1	ča[a	ちゃ[ー	ʨa[ː	茶	沖縄語	食	名詞	b	CVV			caa.wav				ちゃ		20220418		
168	1	me[e	め[ー	me[ː	飯	沖縄語	食	名詞	b	CVV			mee.wav				めし		20220418		
169	1	ukeme[e	うけめ[ー	ukeme[ː	かゆ	沖縄語	食	名詞	b	V.CV.CVV			ukemee.wav				かゆ		20220418		
170	1	mučči[i	むっち[ー	mutʨi[ː	もち	沖縄語	食	名詞	b?	CVC.CVV			muccii.wav				もち		20220418		
171	1	duu[si	どぅー[し	duː[ɕi	雑炊	沖縄語	食	名詞	c	CVV.CV			duusi.wav				ぞうすい		20220418		
172	1	misu[u	みす[ー	misu[ː	味噌	沖縄語	食	名詞	b	CV.CVV			misuu.wav				みそ		20220418		
173	1	siru[u	しる[ー	ɕiɾu[ː	汁	沖縄語	食	名詞	b	CV.CVV			siruu.wav				じる		20220418		
174	1	maa[su	まー[す	maː[su	塩	沖縄語	食	名詞	c	CVV.CV			maasu.wav				しお		20220418		
175	1	saa][ta	さー[た	saː][ta	砂糖	沖縄語	食	名詞	c	CVV.CV			saata.wav				ざとう		20220418		
176	1	wuu[zi	うぅー[じ	wuː[ʑi	砂糖黍	沖縄語	食	名詞	c	CVV.CV			wuuzi.wav				さとうきび		20220418		
177	1	ka[suu	かす[ー	ka[suː	粕	沖縄語	食	名詞	b	CV.CVV			kasuu.wav				かす		20220418		
178	1	[sa]ki	[さき	[sa]ki	酒	沖縄語	食	名詞	a	CV.CV			saki.wav				さけ		20220418		
179	1	hoo][zi	ほー[じ	hoː][ʑi	麹	沖縄語	食	名詞	c	CVV.CV			hoozi.wav				こうじ		20220418		
180	1	nuka[a	ぬか[ー	nuka[ː	糠	沖縄語	食	名詞	b	CV.CVV			nukaa.wav				ぬか		20220418		
181	1	[hiru	[ひる	[hiɾu	にんにく	沖縄語	食	名詞	a	CV.CV			hiru.wav				にんにく		20220418		
182	1	sisi[i	しし[ー	ɕiɕi[ː	肉	沖縄語	食	名詞	b	CV.CVV			sisii.wav				にく		20220418		
183	1	naimu[n	ないむ[ん	naimu[ɴ	果物	沖縄語	食	名詞	b	CVV.CVC			naimun.wav				くだもの		20220418		
184	1	[an]da[a	あんだ[ー	[an]da[ː	油	沖縄語	食	名詞	b	VC.CVV			andaa.wav				あぶら		20220418		
185	1	andagi[i	あんだぎ[ー	andagi[ː	天ぷら	沖縄語	食	名詞	b	VC.CV.CVV			andagii.wav				てんぷら		20220418		
186	1	[fee]	[ふぇー	[ɸeː]	灰	沖縄語	食	名詞	a	CVV			feeash.wav				はい		20220418		
187	1	[haza	[はじゃ	[haʑa	匂い	沖縄語	食	名詞	a	CV.CV			haza.wav				におい		20220418		
188	1	azii	あじー	aʑi[ː	味	沖縄語	食	名詞	b	V.CVV			azii.wav				あじ		20220418		
189	1	mu[n	む[ん	mu[ɴ	料理	沖縄語	食	名詞	b	CVC			mun.wav				りょうり		20220418		
190	1	asi[i	あし[ー	aɕi[ː	朝食	沖縄語	食	名詞	b	V.CVV			asii.wav				ちょうしょく		20220418		
191	1	hirumamun	ひるまむん	hiɾumamuɴ	昼食	沖縄語	食	名詞	不明	CV.CV.CV.CVC			hirumamun.wav				ちゅうしょく		20220418		
192	1	juu]ba[n	ゆーば[ん	juː]ba[n	夕食	沖縄語	食	名詞	b	CVV.CVC			juuban.wav				ゆうしょく		20220418		
193	1	[zin	[じん	[ʑin	膳	沖縄語	食	名詞	a	CVC			zinchopsticks.wav				ぜん		20220418		
194	1	kamimu[n	かみむ[ん	kamimu[ɴ	食べ物	沖縄語	食	名詞	不明	CV.CV.CVC			kamimun.wav				たべもの		20220418		
195	1	kuruzaata	くるじゃーた	kuɾuzaːta	黒糖	沖縄語	食	名詞	不明	CV.CV.CVV.CV			kuruzataa.wav				こくとう		20220418		
196	1	masamun	まさむん	masamuɴ	美味しいもの	沖縄語	食	名詞	不明	CV.CV.CVC			masamun.wav				おいしいもの		20220418		
197	1	kwaadusi	くぁーどぅし	kwaːduɕi	おにぎり	沖縄語	食	名詞	不明	CCVV.CV.CV			kwaadusi.wav				おにぎり		20220418		
198	1	kuruzataa	くるざたー	kuɾuzataː	黒糖	沖縄語	食	名詞	不明	CV.CV.CV.CVV			kuruzataa.wav				こくとう		20220418		
199	1	sooju	そーゆ	soːju	醤油	沖縄語	食	名詞	不明	CVV.CV			sooju.wav				しょうゆ		20220418		
